id,name,artists,duration_ms,year,explicit,spotify_popularity,danceability,energy,acousticness,valence,tempo
7Gi8kaILAUgjYqgdee9410,3rd Planet,['Modest Mouse'],238493,2000,True,,0.536,0.5670000000000001,0.326,0.433,82.191
7DpFOFoYVOdyYtNYhTq67O,3 Polizisten - Live,['Haindling'],176933,1996,False,,0.479,0.326,0.732,0.439,117.844
1SM1zwPtweRE6m9XQhbqLU,Ll12 31/10/99,['Lackluster'],178227,2004,False,,0.434,0.706,7.53e-05,0.35,118.21600000000001
6hv80E6vzTvcceWKpcJPSX,30/03/00,['Lackluster'],192333,2004,False,,0.265,0.644,0.00247,0.0347,112.485
0dPfVxotklQkYkFjwyQkgG,38K,['JayDaYoungan'],124902,2020,True,,0.782,0.5529999999999999,0.0896,0.23399999999999999,83.88
67L78rxXo4Epvs4pS7uMLC,314 Intro,['Project 314'],61067,2001,False,,0.639,0.433,0.0934,0.396,178.361
0U1466G4plp6tZjca2BJry,My Baby Was Shakin' Her Booty At the Booty Club,['Project 314'],272227,2001,False,,0.755,0.938,0.223,0.6729999999999999,172.99900000000005
1Z1p9uP17eOg28pYDOcJHl,U Kant' Git No Koochie,['Project 314'],262720,2001,False,,0.94,0.87,0.0823,0.757,139.697
22w4ID29M8C8w5bNikwaXz,Let Me Hit It From the Back,['Project 314'],249800,2001,False,,0.778,0.446,0.00213,0.7340000000000001,171.472
1EhPZNg2bjiXjKUhhMSjaH,Let the Music Play,['Project 314'],280453,2001,False,,0.907,0.726,0.0329,0.945,107.184
50UDcCEDtge31he26qlJuZ,Get in Where U Fit In,['Project 314'],248880,2001,False,,0.856,0.7809999999999999,0.0361,0.8290000000000001,90.12299999999999
6cGlS0RHUUhuehYs20lmcG,Spank That Booty,['Project 314'],241813,2001,False,,0.748,0.706,0.00499,0.738,193.638
3ATwe4Na0WhVHFPQWx7Jln,Baby Can U Lap Dance,['Project 314'],248133,2001,False,,0.863,0.958,0.073,0.883,157.234
4aqpCEt7in7PZDknk21OjA,Ride On the Rhythm,['Project 314'],314720,2001,False,,0.8959999999999999,0.914,0.0017,0.956,131.49
6nz7zMZKjtngPlXwmVH0L2,Endangerer Species,['Project 314'],300053,2001,False,,0.807,0.674,0.0317,0.502,172.18400000000003
3mWObk5hwlDU04G9tIrQRQ,Crenshaw Roll,['Project 314'],323640,2001,False,,0.782,0.64,1.62e-05,0.762,133.793
5wt5lF111Px0g7EwZ0yJD6,Slide Over,['Project 314'],272280,2001,False,,0.595,0.527,0.000177,0.375,170.91099999999997
