id,name,artists,duration_ms,year,explicit,spotify_popularity,danceability,energy,acousticness,valence,tempo
5M0RPW9a0hPU5lVm2lhR3k,傷仲永,['Phil Lam'],236000,2012,False,,0.295,0.527,0.589,0.39799999999999996,181.097
4cQCKZjde2QPN9pFiEPWIz,雨落大地,['Phil Lam'],223000,2012,False,,0.648,0.7240000000000001,0.0856,0.897,79.947
2gquv4qDzfQANTFHkVdIFj,寫詩,['Phil Lam'],234000,2012,False,,0.737,0.456,0.449,0.555,127.87
7zAUBslKAGwfS3ENHS6Aks,單位,['Phil Lam'],223000,2012,False,,0.614,0.525,0.627,0.309,127.029
0hwtxPCwCfgNZAB5tC2xae,浮生六記,['Phil Lam'],214000,2012,False,,0.41200000000000003,0.544,0.483,0.371,131.50799999999998
6XQAsC1e9AboxZ9Yua8u7l,怎麼了,['Phil Lam'],232000,2012,False,,0.653,0.823,0.0414,0.59,101.01100000000001
2X6a8h3Olet7EZD9KCvmqV,三十歲前要完成的事,['Phil Lam'],209000,2012,False,,0.643,0.687,0.188,0.5920000000000001,100.007
1QVZgy0FZQav4weKiqha9p,奇情夜,['Phil Lam'],218000,2012,False,,0.733,0.495,0.122,0.375,131.933
3m1f9dMaXl9aclf2hNGzpB,一個都不能少,['Phil Lam'],235000,2012,False,,0.7020000000000001,0.5379999999999999,0.24,0.52,119.025
1FLiMxNKuJq9PY2ZhgbVIW,YOU GOTTA BE(弾き語り),['chay'],197253,2016,False,,0.691,0.32899999999999996,0.799,0.5479999999999999,94.206
3nlaJWCbXv5X7GwKchFVPy,Terminal 着、即 Dance,['chelmico'],170226,2020,False,,0.905,0.7190000000000001,0.0751,0.767,100.02799999999999
2g6r241L2P2obNtz1nhkHD,どうやら、私は,['chelmico'],216733,2020,False,,0.607,0.589,0.275,0.519,178.215
3QJ8gbvACKR7EXTHFrNjUT,Premium・夏mansion,['chelmico'],243787,2020,False,,0.677,0.809,0.0117,0.445,180.07
7ALkpuavOZN3vzaQVsJogk,爽健美茶のラップ,['chelmico'],206058,2019,False,,0.777,0.897,0.0486,0.85,122.01700000000001
1ZQ80hAHeYpBImpfH9SevK,仲直り村,['chelmico'],288267,2019,False,,0.7929999999999999,0.564,0.298,0.653,98.03399999999999
2fZCBhjQpbvwwS5L6L5bov,破曉,['Nan Quan Mama'],276547,2005,False,,0.546,0.682,0.0597,0.268,105.01899999999999
16jxKbbTxskcHCvVmZgr5Q,消失,['Nan Quan Mama'],266573,2005,False,,0.335,0.57,0.57,0.172,137.311
3hqUy2W11xf11C5aaGjXBZ,野東西,['Nan Quan Mama'],196827,2005,False,,0.446,0.946,0.00124,0.579,170.00400000000005
6PgNIo1p187iblO7bTspUx,牡丹江,['Nan Quan Mama'],237560,2005,False,,0.595,0.583,0.706,0.502,140.05200000000002
5i7RwX4pJWns5AF5joTfzN,原來,['Nan Quan Mama'],276213,2005,False,,0.33399999999999996,0.494,0.825,0.35100000000000003,129.346
0f0BaT2NwtV3ao4nPxLus0,橘子汽水,['Nan Quan Mama'],212520,2005,False,,0.7240000000000001,0.568,0.657,0.451,105.096
0pBdBqYkCSMHQ6ZRUCxQ6O,最後一枚笑容,['Nan Quan Mama'],292147,2005,False,,0.42100000000000004,0.405,0.669,0.191,174.075
4XhuwPxMYJczTJYe5BBKFE,拂夜,['Nan Quan Mama'],243520,2005,False,,0.5579999999999999,0.693,0.0263,0.14,94.054
0KDaPhptS1TPvFSwiaIi4e,給巧克力的歌,['Nan Quan Mama'],210813,2005,False,,0.6659999999999999,0.7879999999999999,0.441,0.679,125.87700000000001
77T3HttgEAz9MB92ixnRuC,吃妳煮的魚,['Nan Quan Mama'],212733,2005,False,,0.659,0.304,0.657,0.115,125.99
1gJG7mpXC7bVDDgg9PUm2K,匿名,"['Kami-sama, I have noticed']",188191,2019,False,,0.58,0.894,0.0708,0.674,142.942
1jCdXQ7whHvxWvMzBiU9sW,破滅のオレンジ,"['Kami-sama, I have noticed']",211507,2019,False,,0.623,0.9520000000000001,0.0515,0.39,134.966
1z4hXWnPceuNJjlVlUNPaD,沈黙,"['Kami-sama, I have noticed']",197546,2019,False,,0.513,0.87,0.354,0.659,172.135
5vzDKccUvN0QhGwmBwf8io,空洞空洞,['amazarashi'],315840,2017,False,,0.508,0.95,0.000541,0.475,76.515
