id,name,artists,duration_ms,year,explicit,spotify_popularity,danceability,energy,acousticness,valence,tempo
2GtvF6M8PbpuWRvfdq5BK3,Feel This Way,['zebrahead'],224227,1998,False,,0.564,0.9470000000000001,0.00157,0.703,111.03399999999999
6GoC5TMgK4S08xHutcl9SS,Fly Daze,['zebrahead'],273427,1998,False,,0.657,0.624,0.000338,0.927,115.104
49Smxaz5zRlNlKpzOSvEgZ,Face The Truth,['Rufio'],192547,2001,False,,0.22,0.8390000000000001,0.00983,0.23800000000000002,88.363
5zsTVjyO0mw9Swb9ms9n9L,Follow Me,['Bride'],241747,1997,False,,0.488,0.7490000000000001,0.000171,0.521,81.357
30ngg6jCMqOBcvj5fLgfBe,Flying Without Wings,['Westlife'],215307,1999,False,,0.44299999999999995,0.493,0.32299999999999995,0.28300000000000003,72.742
5h9etcHD1K0OTljIAIw0Kh,Fool Again,['Westlife'],235067,1999,False,,0.532,0.526,0.0468,0.536,75.99600000000002
5OAfQIrM2oSW9k8HpTnNYb,Flow/Growing Older,['Zorras'],210187,2010,False,,0.728,0.114,0.7959999999999999,0.48,78.273
5mIgdBMxP5GbifSYWYb9Kh,Two Girls (One for Heaven and the Other One for Rome),['Frog Eyes'],181400,2015,False,,0.42100000000000004,0.505,0.326,0.585,136.872
5meuFLH0RQWgRMmibLYTHy,Joe with the Jam,['Frog Eyes'],277333,2015,False,,0.48200000000000004,0.488,0.10099999999999999,0.281,114.205
1iEUVgW61Okfhqul9tiS0r,The Beat Is Down (Four Wretched Singers Beyond Any World That You Have Known),['Frog Eyes'],197053,2015,False,,0.5770000000000001,0.502,0.249,0.5760000000000001,100.406
2U6OTphPd0rXiMyKGEVFBn,Death's Ship,['Frog Eyes'],210027,2015,False,,0.44799999999999995,0.555,0.273,0.66,146.184
1oJPoLhqaLJxya0rtgTtNk,The Demon Runner,['Frog Eyes'],253107,2015,False,,0.5670000000000001,0.44299999999999995,0.5539999999999999,0.413,113.339
2mQd4bqggTRAU4mNRkvWjZ,Rejoinders in a Storm,['Frog Eyes'],245267,2015,False,,0.491,0.542,0.268,0.402,137.594
6E1Cfd8YpVjfxEtX7KZxos,In a Hut,['Frog Eyes'],174480,2015,False,,0.515,0.439,0.741,0.633,120.056
0HWY0HdJVgX00RhCwZ3gdq,Crystal Blip,['Frog Eyes'],261813,2015,False,,0.42100000000000004,0.55,0.405,0.47700000000000004,121.01899999999999
6DMNfK4CqgDzqWdaKIw7xY,I Ain't Around Much,['Frog Eyes'],253653,2015,False,,0.46799999999999997,0.391,0.485,0.284,79.465
3nDOVx1ZpQq1whCMKXZCVq,Rip Down the Fences That Fence the Garden,['Frog Eyes'],319067,2015,False,,0.376,0.48100000000000004,0.209,0.353,151.091
44SuBr5ZuNLOhiHuFzwfc8,Falling,['Sister Sadie'],199267,2016,False,,0.496,0.544,0.629,0.43,101.073
3FT3yZxwVltPjSZasB5RhY,"Prelude on the name B-A-C-H, S260/R381","['Franz Liszt', 'Felix Hell']",203960,2015,False,,0.0813,0.075,0.0795,0.0358,83.62299999999998
4o6dbUB9jaU1PRWBR6IQfd,"Paraphrase de concert sur Rigoletto, S. 434: Verdi - Rigoletto: Paraphrase de concert, S434/R267","['Franz Liszt', 'Joel Fan']",396493,2015,False,,0.337,0.259,0.982,0.0916,129.559
4Wbwj79lFsrwuYJSagyVJe,Hello,['Full Catastrophe Living'],252000,2009,False,,0.523,0.35100000000000003,0.905,0.48700000000000004,122.861
5S6cVVhxOqqBw3cWw0h9YM,Drowning By Proxy,['Full Catastrophe Living'],190000,2009,False,,0.643,0.483,0.00131,0.884,109.12899999999999
2FZe8cKF1PGMDdV6Dad9Al,The New Rage,['Full Catastrophe Living'],264000,2009,False,,0.456,0.348,0.742,0.302,152.341
