id,name,artists,duration_ms,year,explicit,spotify_popularity,danceability,energy,acousticness,valence,tempo
4FKggErzionSD7MdrEJPf2,Give,['Death & Desire'],201216,2011,False,,0.316,0.9159999999999999,2.5e-06,0.7929999999999999,172.301
4VJE2QEGdEYa1I6sqbqC0r,Get Back,['zebrahead'],211760,1998,False,,0.633,0.907,0.00206,0.809,126.73100000000001
2OI05l9q2JPZZqLarswonO,Get It While It's Hot,['Nodesha'],230720,2003,False,,0.863,0.767,0.11,0.9640000000000001,107.01299999999999
3jS0Hj7Fgn5PVCARsu2XUu,Got Into My Head & Stole My Heart,['Nodesha'],259720,2003,False,,0.379,0.35100000000000003,0.284,0.287,207.329
0sPIRmokBOkDb6yWMGU9Il,Give Me Your Love (Love Song),['Lambchop'],315600,1998,False,,0.614,0.594,0.011000000000000001,0.858,98.258
1pPqVrG2RCHXx81Aw4xp99,Gravity Rides Everything,['Modest Mouse'],259840,2000,False,,0.395,0.44299999999999995,0.431,0.7140000000000001,103.262
44X8Tom34YbnkdhYyeGenM,Silence,['John Gorka'],192600,1991,False,,0.647,0.267,0.83,0.428,131.334
6UXtQIVLBxF4fTHN4KlddB,Treasure Islands,['John Gorka'],173427,1991,False,,0.648,0.483,0.344,0.539,110.02799999999999
7fIqna7IPPe3qNPejBN253,Jack's Crows,['John Gorka'],226333,1991,False,,0.457,0.0772,0.861,0.209,122.04299999999999
1mqS004oYHfwk4DyEbnJCa,Houses in the Fields,['John Gorka'],282467,1991,False,,0.547,0.212,0.5760000000000001,0.317,135.378
5HRzzXsO4ITVJqCu9CFTpB,The Mercy of the Wheels,['John Gorka'],232933,1991,False,,0.551,0.0699,0.815,0.345,117.969
42E1YJr1ae61QgJDN4vs6T,Good,['John Gorka'],144200,1991,False,,0.6459999999999999,0.47700000000000004,0.25,0.653,115.43700000000001
4aP5IZkYzz6aJnlyZDwgrL,Semper Fi,['John Gorka'],329067,1991,False,,0.32799999999999996,0.0904,0.8290000000000001,0.193,74.848
30OX3L2b7tIHdwBzhgnemA,Where the Bottles Break,['John Gorka'],298693,1991,False,,0.6629999999999999,0.508,0.391,0.574,135.14600000000002
1XHo5ZCzLc2yD4UyRDMR8K,Night is a Woman,['John Gorka'],245067,1991,False,,0.504,0.054000000000000006,0.8420000000000001,0.24100000000000002,118.53399999999999
1kvalaP2you8FRtZmzsNOn,I'm From New Jersey,['John Gorka'],187267,1991,False,,0.637,0.213,0.5529999999999999,0.613,144.004
0Xp2zHCtS6n7p5a8vMhtwy,My New Neighborhood,['John Gorka'],217533,1991,False,,0.521,0.0532,0.857,0.447,116.84700000000001
0QqiVMCr04tRVMhOkLg5qs,The Ballad of Jamie Bee,['John Gorka'],318307,1991,False,,0.522,0.0675,0.81,0.33399999999999996,140.36
2XiLzszzvzGt54VXmg0X1a,You're On Your Way,['John Gorka'],156760,1991,False,,0.516,0.0889,0.777,0.426,131.155
0i4FFdFUNM8bgeX6N8knro,Good Noise,['John Gorka'],185827,1994,False,,0.748,0.5589999999999999,0.401,0.968,130.825
2v8TP947RtbTelgw7kyeWa,That's Why,['John Gorka'],202133,1994,False,,0.539,0.0857,0.8640000000000001,0.29,133.985
3JId2pNgmSwU6i0wdMzQSH,Carnival Knowledge (second hand face),['John Gorka'],229400,1994,False,,0.8,0.22699999999999998,0.779,0.5489999999999999,95.652
0FpCOTrmkgpknnBarAJZ5q,Talk About Love,['John Gorka'],193933,1994,False,,0.728,0.6629999999999999,0.513,0.8079999999999999,127.71600000000001
34ObkibKpcO3iXolIbajlm,Bigtime Lonesome,['John Gorka'],334907,1994,False,,0.48,0.0727,0.887,0.17,138.388
4VXBPTgGBx3JvaLA9ECU6m,Furniture,['John Gorka'],290160,1994,False,,0.6779999999999999,0.29,0.77,0.564,85.96799999999998
0PfA8mIqcFa6HL94NHTuYD,Mystery To Me,['John Gorka'],226040,1994,False,,0.667,0.519,0.491,0.904,153.24
2EJLhb0SdVZejHT4t46Tu9,Out Of The Valley,['John Gorka'],291667,1994,False,,0.721,0.149,0.609,0.47100000000000003,131.278
2rPHnYxGDMT8eOILxp5knM,Thoughtless Behaviour,['John Gorka'],267360,1994,False,,0.502,0.109,0.883,0.29100000000000004,152.964
4byqd22gHOTKEyhpB0IdQa,Always Going Home,['John Gorka'],215267,1994,False,,0.595,0.38,0.649,0.609,101.219
