id,name,artists,duration_ms,year,explicit,spotify_popularity,danceability,energy,acousticness,valence,tempo
4rP96apbJCohHkJB4aiBAf,In My Eyes,['Rufio'],179960,2001,False,,0.342,0.968,0.000408,0.377,129.536
2SBRczGej25SHyMlK2dVoK,Raining in September,['Rufio'],36653,2001,False,,0.313,0.892,2.9199999999999998e-05,0.14,109.22200000000001
4YjsbjDS1T3LxRRm5YSO4o,I Love You,['Bride'],176960,1997,False,,0.502,0.9420000000000001,8.68e-05,0.816,138.999
5PwG5dfFVLBfhmPYLFOrlJ,I Live For You,['Bride'],200133,1997,False,,0.584,0.843,0.013000000000000001,0.7340000000000001,91.346
4u47KJdvyWebcX9KJHXvoj,I Hear A Word,['Bride'],230027,1997,False,,0.605,0.897,0.0296,0.45299999999999996,150.842
53H6Q5kfRMIcsK8mYNpjj7,Blow It All Away,['Bride'],269107,2003,False,,0.503,0.871,0.0074,0.431,91.014
5giCRvTkp5GV5UIAORAOof,If I Let You Go - Radio Edit,['Westlife'],221533,1999,False,,0.5710000000000001,0.6970000000000001,0.0057399999999999994,0.636,181.987
3O5YCVeCSJg1i8X7Zfl4xn,I Don't Wanna Fight,['Westlife'],303440,1999,False,,0.59,0.479,0.5,0.32799999999999996,122.054
3aqd5ZizbDDc8BCTX7bfLY,I Need You,['Westlife'],228640,1999,False,,0.667,0.7170000000000001,0.285,0.617,96.015
6QCTOzddi99l53swxjU1q6,What I Want Is What I Got,['Westlife'],212027,1999,False,,0.75,0.7509999999999999,0.239,0.9129999999999999,92.02
1Km0EwfnZXSgNEZXphorwg,I Did It for You,['Westlife'],211253,2003,False,,0.536,0.564,0.243,0.35600000000000004,119.78
33P9Sm5CCNXqHXJ6E2ups6,In the Details 1,['Zorras'],73187,2010,False,,0.568,0.13699999999999998,0.894,0.1,134.894
2pLRq4j7inN4kMBYmuGCR2,If,['Zorras'],199120,2010,False,,0.525,0.583,0.00373,0.444,100.26100000000001
1RtHVJWE5ukoU4JCQ0tzhe,In the Details 2,['Zorras'],41400,2010,False,,0.7240000000000001,0.127,0.847,0.0604,134.063
1CrYB7VvZCzjnhZBROs6fT,In the Details 3,['Zorras'],57240,2010,False,,0.619,0.12,0.7709999999999999,0.348,132.516
3w9ghRrxZV8IK0HC8rMZxP,In the Details 4 & 5,['Zorras'],37773,2010,False,,0.537,0.10099999999999999,0.8370000000000001,0.0389,134.401
1FwfvnICvZx7PGWqkOLttq,Rooftop,['The Innocence Mission'],117027,2001,False,,0.325,0.303,0.428,0.312,171.733
6QDFr2Vul2UJ7JrOn3YcIT,Too Early to Say,['The Innocence Mission'],200600,2001,False,,0.479,0.632,0.491,0.465,133.089
2RYcVsvcIN3tdh437Irtr3,Migration,['The Innocence Mission'],254587,2001,False,,0.47600000000000003,0.22899999999999998,0.504,0.105,114.419
0yuEk58hIetzfjofRMXUtK,Today,['The Innocence Mission'],220467,2001,False,,0.424,0.418,0.0714,0.5870000000000001,115.154
1UI3E250AE67gyWUX1CN9s,The Girl on My Left,['The Innocence Mission'],141640,2001,False,,0.594,0.265,0.419,0.24,99.805
1LxToQ7nGCE6NUMGxnpDUy,Song About Traveling,['The Innocence Mission'],224653,2001,False,,0.517,0.28800000000000003,0.408,0.217,128.178
1zHSHa8dHlnr308ck5HZI2,Oh Do Not Fly Away,['The Innocence Mission'],168800,2001,False,,0.441,0.244,0.392,0.26,105.62899999999999
1A0taWkwkAt7I0RL7Ja5yV,I Left the Grounds,['The Innocence Mission'],75787,2001,False,,0.439,0.149,0.892,0.257,77.137
3IFKzkMn821V6jjyvAZO82,Some Clear Joy Is Coming,['The Innocence Mission'],211280,2001,False,,0.385,0.27899999999999997,0.748,0.126,170.6
5dci9BCmhYQdh61LAtemUi,Small Planes,['The Innocence Mission'],271787,2001,False,,0.39299999999999996,0.298,0.706,0.257,130.026
2qxWOpejOG5sE6qmC9v9ER,I Have Loved You,['The Innocence Mission'],189413,2001,False,,0.561,0.11599999999999999,0.848,0.35,123.225
3Zhnj6HfkUNp2u3Qiewjtf,Psychosis,['Reflected Illusions'],234000,2007,False,,0.691,0.9079999999999999,0.109,0.9109999999999999,120.17399999999999
1MHmBtjrjcdBgyNcX9jilp,Scrimdust,['Reflected Illusions'],205000,2007,False,,0.6759999999999999,0.823,0.0685,0.753,141.999
2PYDcRpnjRo5VktCjsUqHi,Outta My Mind,['Reflected Illusions'],168000,2007,False,,0.792,0.649,0.0467,0.6970000000000001,133.037
3iH4FXtxe3XEXxxtamUyG1,Glitch Station,['Reflected Illusions'],211507,2007,False,,0.7959999999999999,0.946,0.0010199999999999999,0.805,133.002
79zaR090dmOWd9wIDaUwog,Infected,['Reflected Illusions'],206000,2007,False,,0.7709999999999999,0.772,0.213,0.9259999999999999,141.984
5RQbSWsMs3gf62tp1mml5i,Eve Of Destruction,['Reflected Illusions'],182000,2007,False,,0.723,0.975,0.0012900000000000001,0.917,159.982
60LIS11eJbWhb8XL7iOLEE,Insomnia,['Reflected Illusions'],186000,2007,False,,0.79,0.5670000000000001,0.078,0.9640000000000001,132.995
5G3LDYwKbM4joBoPTV4oho,Methamphetamine,['Reflected Illusions'],184000,2007,False,,0.46299999999999997,0.706,0.0454,0.713,120.055
5uXWhOO91v9W57YPHb2YD4,Magical Forest,['Reflected Illusions'],514286,2011,False,,0.33799999999999997,0.253,0.406,0.0351,139.93200000000002
30UUM8bF30dyBn7p7RfetM,Erowid Kid,['Reflected Illusions'],458667,2011,False,,0.304,0.48700000000000004,0.489,0.0481,180.013
2JdjrXrQ7KCbW5YOJQuhgq,Outside Looking in,['Reflected Illusions'],350400,2011,False,,0.514,0.33399999999999996,0.799,0.0519,100.005
14qGdHR5HyhvYQt1PjMKlq,Disoriented,['Reflected Illusions'],432000,2011,False,,0.24,0.23399999999999999,0.7879999999999999,0.107,198.805
1GL3izxvW77s1q7ZIQVnF1,The Long Journey,['Reflected Illusions'],424000,2011,False,,0.374,0.474,0.0119,0.0739,89.94
16RnCBb1AIrbRkaOqKKCA3,Acid Trip,['Reflected Illusions'],378667,2011,False,,0.446,0.309,0.6459999999999999,0.0669,180.035
3xHdvQkDiKqI9m45PigrE9,Shooting Star,['Reflected Illusions'],521143,2011,False,,0.708,0.447,0.754,0.687,140.009
55Y64IiyX2YwpEdEMRVFRR,Space and Time,['Reflected Illusions'],388000,2011,False,,0.185,0.305,0.185,0.0353,117.927
72kgErGi8ZipM7hGQzu9PC,Everything Ends,['Reflected Illusions'],353455,2011,False,,0.622,0.406,0.223,0.17,109.999
3p6UKNf7I9kBINNkzxCJlq,Interrupted,['Lambchop'],368800,1998,False,,0.489,0.231,0.632,0.12300000000000001,109.111
55IFHkHzhqKrUXND1jHSML,It's Not Alright,['Lambchop'],206400,1998,False,,0.386,0.679,0.11599999999999999,0.552,148.489
6Qv03mbjmV1pZc6L03aM1O,I've Been Lonely For So Long,['Lambchop'],280733,1998,False,,0.58,0.47600000000000003,0.5920000000000001,0.747,82.161
4M59kIKW93n5t09r8w2Sah,I Will Drive Slowly,['Lambchop'],284000,1994,False,,0.442,0.32899999999999996,0.0169,0.233,179.095
1Jaah2tmN9Hv81A87KZ1MU,Torn,['Natalie Imbruglia'],244667,1997,False,,0.575,0.8859999999999999,0.0647,0.609,96.309
0WD5uBxgrOIcMWSqiEVaXl,One More Addiction,['Natalie Imbruglia'],211133,1997,False,,0.245,0.8079999999999999,0.0276,0.51,92.035
2rN6NKR8ZjMhcBCXsZUDWi,Big Mistake,['Natalie Imbruglia'],273000,1997,False,,0.562,0.654,0.0242,0.222,90.978
5WbGQG0XwHXhYxQ0jrhqrT,Leave Me Alone,['Natalie Imbruglia'],263333,1997,False,,0.532,0.593,0.0588,0.534,87.988
7zrWPRYubwn8k8Id80LDCv,Wishing I Was There,['Natalie Imbruglia'],232560,1997,False,,0.585,0.867,0.019,0.81,92.993
4Tj6t4ZdZMksIyzoQyTeXe,Smoke,['Natalie Imbruglia'],277333,1997,False,,0.607,0.585,0.0673,0.18100000000000002,94.31700000000001
4sWAbvHBzKlTS2P2OzI3DF,Pigeons And Crumbs,['Natalie Imbruglia'],321067,1997,False,,0.529,0.6779999999999999,0.0096,0.675,99.984
1k7TGEMNVQm4bPbzuAgc7g,Don't You Think?,"['Natalie Imbruglia', 'Mark Plati']",235307,1997,False,,0.517,0.8759999999999999,0.00121,0.21,100.507
5mwuKwzZJTSWVv7bXAO7Uu,Impressed,['Natalie Imbruglia'],289067,1997,False,,0.62,0.8420000000000001,0.000443,0.545,125.04799999999999
7H90M7opz2cQfZxPcSJM9t,Intuition,['Natalie Imbruglia'],203893,1997,False,,0.425,0.8240000000000001,0.00117,0.5870000000000001,182.06900000000002
