id,name,artists,duration_ms,year,explicit,spotify_popularity,danceability,energy,acousticness,valence,tempo
6RovFMOG0avksTizHRlbUi,Rosaryville,['Kate Campbell'],269507,1999,False,,0.7290000000000001,0.5870000000000001,0.336,0.636,129.833
1PnJ0wTwdDQ2oTMlhLg3Ab,Porcelain Blue,['Kate Campbell'],224253,1999,False,,0.778,0.529,0.775,0.7040000000000001,131.983
4xSxXbvS2ImooFqVW0sM2Y,Rosa's Coronas,['Kate Campbell'],290173,1999,False,,0.5579999999999999,0.319,0.8140000000000001,0.349,124.012
2w5gwaI27Ek8fSCQdFiDNC,In My Mother's House,['Kate Campbell'],215720,1999,False,,0.5489999999999999,0.162,0.922,0.19,108.775
75qoLt38t0tJMfArhH8n0f,Heart of Hearts,['Kate Campbell'],230707,1999,False,,0.602,0.685,0.525,0.5489999999999999,98.007
31Yy1JrQt97tWw0XOdfiLD,Fade to Blue,['Kate Campbell'],183493,1999,False,,0.654,0.26,0.871,0.475,139.7
3Lg2CVWLCtZQmVZNrPhck8,Who Will Pray For Junior,['Kate Campbell'],236387,1999,False,,0.691,0.267,0.797,0.33,123.03299999999999
58RIKzxWYD4CNGuRoP4jSL,Rosemary,['Kate Campbell'],176907,1999,False,,0.627,0.126,0.9279999999999999,0.14800000000000002,122.26100000000001
6RraLU76rC8zfIazhQnbXh,Look Away,['Kate Campbell'],327640,1999,False,,0.426,0.133,0.8190000000000001,0.205,132.401
4iGKOFTplr4vOjDAbGUKLU,Ave Maria Grotto,['Kate Campbell'],302547,1999,False,,0.36200000000000004,0.306,0.7020000000000001,0.213,112.729
2jPKjMKG5sVX2o6bMLvGuX,Kinda Guy I Like,['Nodesha'],267400,2003,False,,0.728,0.6679999999999999,0.34,0.772,91.152
6nx0oqtiG1qaW3yBgBkVxV,King Of Nothing Never,['Lambchop'],247173,1998,False,,0.456,0.8420000000000001,0.218,0.231,136.31799999999998
31hxQFvvNLPamhlqBAqFJf,Easy Like Spring,['Peter Kater'],267000,1991,False,,0.40700000000000003,0.61,0.281,0.27899999999999997,91.804
1P35DedcsFJEYtgonrbKWJ,Rooftops,['Peter Kater'],411267,1991,False,,0.444,0.402,0.425,0.218,99.956
