id,name,artists,duration_ms,year,explicit,spotify_popularity,danceability,energy,acousticness,valence,tempo
1TuYWuF3vUQOt53jYdu9PJ,Love Hate,['Bride'],211880,1997,False,,0.28800000000000003,0.9540000000000001,0.033,0.182,201.604
1yW7cB69YhL7IOKswXlNKz,Lost in You,['Westlife'],216720,2003,False,,0.579,0.41,0.24,0.479,179.84900000000005
4mOjvafN3FbHFmXH5QaXv5,Last Christmas,['Lucy Dacus'],161812,2019,False,,0.484,0.912,1.77e-05,0.5479999999999999,159.97799999999995
3p6UKNf7I9kBINNkzxCJlq,Interrupted,['Lambchop'],368800,1998,False,,0.489,0.231,0.632,0.12300000000000001,109.111
4kkFc2ohLaShgUKujVIX1L,Saturday Option,['Lambchop'],278293,1998,False,,0.48,0.424,0.315,0.289,72.718
4QNzpxbkn0Zz8S6mZ9cHky,Shucks,['Lambchop'],311707,1998,False,,0.425,0.17600000000000002,0.693,0.20199999999999999,127.2
0sPIRmokBOkDb6yWMGU9Il,Give Me Your Love (Love Song),['Lambchop'],315600,1998,False,,0.614,0.594,0.011000000000000001,0.858,98.258
7DitEePsNJa0B7gnwTnZ5O,Life #2,['Lambchop'],281160,1998,False,,0.44299999999999995,0.182,0.892,0.204,68.102
5BHyMJXFQCKGiFhUOCUk0C,Scamper,['Lambchop'],381867,1998,False,,0.488,0.228,0.5589999999999999,0.266,140.941
55IFHkHzhqKrUXND1jHSML,It's Not Alright,['Lambchop'],206400,1998,False,,0.386,0.679,0.11599999999999999,0.552,148.489
6gdV0lnt4Kw5e6p9vjzy9M,N.O.,['Lambchop'],266373,1998,False,,0.364,0.163,0.735,0.10400000000000001,152.045
6Qv03mbjmV1pZc6L03aM1O,I've Been Lonely For So Long,['Lambchop'],280733,1998,False,,0.58,0.47600000000000003,0.5920000000000001,0.747,82.161
0GJCFB2dOgvQYD9evXdoL9,Magnificent Obsession,['Lambchop'],200827,1998,False,,0.524,0.23600000000000002,0.8809999999999999,0.48100000000000004,144.031
6nx0oqtiG1qaW3yBgBkVxV,King Of Nothing Never,['Lambchop'],247173,1998,False,,0.456,0.8420000000000001,0.218,0.231,136.31799999999998
6tdbz50bnl8tnUZNHmYPOK,Theme From The Neil Miller Show,['Lambchop'],165360,1998,False,,0.435,0.5529999999999999,0.107,0.884,128.391
5m5vgk6YegzkqMfSkhFBtR,Begin,['Lambchop'],210800,1994,False,,0.52,0.389,0.645,0.28600000000000003,106.385
5vLYx2hFsb0JY3l8O58cnD,Betweemus,['Lambchop'],326800,1994,False,,0.34700000000000003,0.627,6.32e-05,0.7929999999999999,158.482
6Y5k9eRtMFKDWQP0lwxsgv,Soaky In the Pooper,['Lambchop'],256840,1994,False,,0.45799999999999996,0.299,0.742,0.51,142.95
3uSM7uuP7FPtUHoY2BdJCe,Because You Are the Very Air He Breathes,['Lambchop'],371947,1994,False,,0.24100000000000002,0.331,0.7809999999999999,0.258,159.361
21QrxBx6kjZzZQ0fjo7yH1,Under the Same Moon,['Lambchop'],295213,1994,False,,0.40700000000000003,0.242,0.6859999999999999,0.243,74.499
4M59kIKW93n5t09r8w2Sah,I Will Drive Slowly,['Lambchop'],284000,1994,False,,0.442,0.32899999999999996,0.0169,0.233,179.095
4GlMvQPiSNZqD0mpBmBLjs,"Oh, What a Disappointment",['Lambchop'],266573,1994,False,,0.358,0.544,0.0038299999999999996,0.519,165.84599999999998
0jKeBgvMYy3i7E70k41K95,Hellmouth,['Lambchop'],172827,1994,False,,0.313,0.828,0.753,0.33799999999999997,143.751
69Lg2cu1N8vnIRQ2j52q11,"Bon Soir, Bon Soir",['Lambchop'],212173,1994,False,,0.488,0.201,0.634,0.271,80.694
75SHwnYIJY9VDSScUixPXy,Hickey,['Lambchop'],253827,1994,False,,0.4920000000000001,0.439,0.336,0.451,77.079
0aTqENMEmO3CoLNdO08QCS,Breathe Deep,['Lambchop'],351440,1994,False,,0.5379999999999999,0.308,0.762,0.203,75.52600000000002
4caex9vczyMnbEUGoe8s8u,So I Hear You're Moving,['Lambchop'],227000,1994,False,,0.256,0.794,0.485,0.318,152.329
2Evtv1tb9dzvSGpvX3YGqQ,Let's Go Bowling,['Lambchop'],329760,1994,False,,0.428,0.514,0.42,0.415,144.233
3S02baHff3A37K8Vdbjhsd,What Was He Wearing?,['Lambchop'],198667,1994,False,,0.40399999999999997,0.298,0.677,0.304,141.942
7panS5K0Cvz17UURmwOoOo,Cowboy On the Moon,['Lambchop'],160453,1994,False,,0.5670000000000001,0.413,0.0755,0.322,91.898
3yLaOihMAFbhm53QONrMJE,The Pack-Up Song,['Lambchop'],113213,1994,False,,0.496,0.15,0.772,0.396,115.053
7yzUHiCgF7JOzJOFE0Bnpd,L'ombre et la lumière,['Coralie Clement'],248373,2001,False,,0.73,0.545,0.585,0.491,137.166
2K9pZMX96NXf19MhJCtca0,La contradiction,['Coralie Clement'],174613,2001,False,,0.742,0.4920000000000001,0.42100000000000004,0.6709999999999999,150.157
6ihbTijFhhzflZaLiBr3rA,La mer opale,['Coralie Clement'],167267,2001,False,,0.66,0.495,0.442,0.396,116.15899999999999
15RAyUYDEFWUl2wUZDJGqE,Le dernier train,['Coralie Clement'],166493,2001,False,,0.6709999999999999,0.27899999999999997,0.28600000000000003,0.644,129.27700000000002
55SVA0qJtpeQ88Y7TnGgmP,Lou,['Coralie Clement'],154600,2001,False,,0.583,0.374,0.583,0.405,102.21700000000001
6noopm0mHQPMHC1Lh0WXWz,Le jazz et le gin,['Coralie Clement'],200613,2001,False,,0.588,0.517,0.467,0.406,73.984
2oe4wyycSHGBXGIaY4Fll5,Lives,['Modest Mouse'],197907,2000,False,,0.48100000000000004,0.374,0.8320000000000001,0.33399999999999996,131.113
7JVJnw38D5TblpI25uwwUm,Life Like Weeds,['Modest Mouse'],390427,2000,False,,0.47200000000000003,0.5710000000000001,0.09699999999999999,0.141,129.015
0HHTW1zM3jiBnKLGuIc4xk,Look What I'm Trading For a Mansion,['Sister Sadie'],246147,2016,False,,0.591,0.469,0.802,0.452,94.016
426DDgoVl9uAASqdFO0xTh,Mestizo Waltz,"['Gabriela Lena Frank', 'Utah Symphony Orchestra', 'Keith Lockhart']",190973,2015,False,,0.28800000000000003,0.18,0.77,0.162,72.86399999999998
