id,name,artists,duration_ms,year,explicit,spotify_popularity,danceability,energy,acousticness,valence,tempo
1t4iBhiqqRd6HkAsx7KLdw,Loch Ness,['Some Velvet Sidewalk'],137000,2005,False,,0.258,0.968,0.0517,0.16699999999999998,167.372
4Huhm460sLvoQbAtOm9Ezl,Version,['Incubus'],257200,1997,False,,0.444,0.968,0.0354,0.446,124.39399999999999
3GQdU9Wfa7YCHtJU6O6coO,"Brass Quintet No. 2, Op. 6: I. Allegro risoluto","['Victor Ewald', 'Axiom Brass']",300587,2010,False,,0.263,0.0688,0.981,0.0962,88.23899999999998
0uGIxlm0Ba68pcwghY1P7Q,"Brass Quintet No. 2, Op. 6: II. Thema con variazioni","['Victor Ewald', 'Axiom Brass']",426720,2010,False,,0.15,0.0559,0.9790000000000001,0.05,66.627
0vgQNGlcxXcsIaofH0r1IZ,"Brass Quintet No. 2, Op. 6: III. Allegro vivace","['Victor Ewald', 'Axiom Brass']",262827,2010,False,,0.28800000000000003,0.0842,0.988,0.136,110.84200000000001
4irNraezs3GaQZvJjv3EzB,Viva Mi Desgracia,['Organillero'],20991,1996,False,,0.297,0.0233,0.9440000000000001,0.742,200.747
0gDEnPiEX7yPIXC0JpGmbW,El Chulo,['Maldita Vecindad Y Los Hijos Del 5to. Patio'],197560,1996,False,,0.5720000000000001,0.813,0.0007740000000000001,0.9359999999999999,146.346
4kO5spm8D3psXLqxUPKEol,Por Ahí,['Maldita Vecindad Y Los Hijos Del 5to. Patio'],156400,1996,False,,0.44799999999999995,0.9490000000000001,0.00432,0.721,121.34899999999999
3xrfvfHP0WCjmisthfFff6,Vuelta Tras Vuelta,['Maldita Vecindad Y Los Hijos Del 5to. Patio'],228773,1996,False,,0.564,0.62,0.0025399999999999997,0.491,92.79799999999999
6pMLYRgjml86VGxeuQZKru,No Les Creo Nada,['Maldita Vecindad Y Los Hijos Del 5to. Patio'],191827,1996,False,,0.48200000000000004,0.95,0.0019199999999999998,0.97,139.554
0Cwjc8PqEXpmJNFm7QYYMO,El Dedo,['Maldita Vecindad Y Los Hijos Del 5to. Patio'],240573,1996,False,,0.505,0.872,0.0224,0.8140000000000001,146.661
3Ln64zYZ8cbeKTuVnWY9PB,Salta Pa' Tras,['Maldita Vecindad Y Los Hijos Del 5to. Patio'],265467,1996,False,,0.59,0.9279999999999999,0.111,0.825,120.111
0qf77dsjbZN04MSG5I3d1F,Ojos Negros,['Maldita Vecindad Y Los Hijos Del 5to. Patio'],217493,1996,False,,0.564,0.774,0.0326,0.8490000000000001,106.359
0GBedM2CJYtnqqAHmwSpdY,Cenizas,['Maldita Vecindad Y Los Hijos Del 5to. Patio'],171733,1996,False,,0.469,0.951,6.04e-05,0.6920000000000001,122.93799999999999
