id,name,artists,duration_ms,year,explicit,spotify_popularity,danceability,energy,acousticness,valence,tempo
5oLsi3F0C26MGnXJcnzQyB,Love The One You're With,['Will Young'],215093,2003,False,,0.61,0.883,0.24,0.6409999999999999,95.03399999999999
7xGWDXdFKvsapcORfJuloO,Your Game,['Will Young'],250000,2003,False,,0.741,0.632,0.077,0.593,92.98700000000001
0AqhwhQv1xnqCH9wzlQ7PE,Stronger,['Will Young'],318720,2003,False,,0.645,0.513,0.29600000000000004,0.6829999999999999,75.008
4mZsyuthp695XQWwb2g3qe,Leave Right Now,['Will Young'],214733,2003,False,,0.6409999999999999,0.445,0.145,0.38299999999999995,81.931
5nvUqq0fvB0GN6mqzDc9Ey,Love Is A Matter Of Distance,['Will Young'],178027,2003,False,,0.5429999999999999,0.56,0.51,0.304,99.941
4KepeWvq5KfZUevd0cQ70T,Dance The Night Away,['Will Young'],245573,2003,False,,0.77,0.757,0.17300000000000001,0.596,99.994
3VXoePG7JjYl2ay8fzLhtG,Very Kind,['Will Young'],310013,2003,False,,0.77,0.28800000000000003,0.11199999999999999,0.44,79.962
41YN3uBz1PpFNZtmAAaSKS,Free,['Will Young'],247067,2003,False,,0.7170000000000001,0.616,0.0576,0.6920000000000001,98.62799999999999
2nO4uKyReZHH7JS61yT2nS,Going My Way,['Will Young'],221347,2003,False,,0.564,0.395,0.337,0.374,84.896
4L4Ug6ah2UXH3JDlpeduRf,Out Of My Mind,['Will Young'],187640,2003,False,,0.79,0.83,0.0472,0.945,120.955
2JgPlDkLbdcRk5Jp3e7Pgm,Friday's Child,['Will Young'],540933,2003,False,,0.545,0.6890000000000001,0.0998,0.7959999999999999,164.003
399Y2XppdMAIHU0eWjw0u3,Waste of Mind,['zebrahead'],212400,1998,False,,0.602,0.9109999999999999,6.32e-05,0.848,120.178
32DdumVsgJrE6JWjZQPZQ0,Walk Away,['zebrahead'],202467,1998,False,,0.574,0.95,0.000795,0.856,123.81200000000001
3WkdA05KkhCaCunFqkkvvX,White Elephant,['Bride'],262213,2003,False,,0.532,0.457,0.00625,0.159,105.103
7of4HyvadkzXaueKgoTkx6,Will He Ever Love Me Back,['Nodesha'],245547,2003,False,,0.764,0.63,0.445,0.5529999999999999,129.934
2x1D20z93vGEjtTP07GOOr,Swear It Again - Radio Edit,['Westlife'],247933,1999,False,,0.626,0.532,0.29600000000000004,0.33,130.076
5giCRvTkp5GV5UIAORAOof,If I Let You Go - Radio Edit,['Westlife'],221533,1999,False,,0.5710000000000001,0.6970000000000001,0.0057399999999999994,0.636,181.987
30ngg6jCMqOBcvj5fLgfBe,Flying Without Wings,['Westlife'],215307,1999,False,,0.44299999999999995,0.493,0.32299999999999995,0.28300000000000003,72.742
5h9etcHD1K0OTljIAIw0Kh,Fool Again,['Westlife'],235067,1999,False,,0.532,0.526,0.0468,0.536,75.99600000000002
3aNILB3pRxBsdlaiNaupow,No No,['Westlife'],194093,1999,False,,0.698,0.7909999999999999,0.127,0.912,105.021
3O5YCVeCSJg1i8X7Zfl4xn,I Don't Wanna Fight,['Westlife'],303440,1999,False,,0.59,0.479,0.5,0.32799999999999996,122.054
7F99fYE0Y0NF0CVwfBri3c,Change the World,['Westlife'],189333,1999,False,,0.634,0.726,0.345,0.6729999999999999,96.00399999999999
28boPljtF4jMqT8rEKBO73,Moments,['Westlife'],256760,1999,False,,0.57,0.371,0.499,0.565,133.819
6D17ZfWe6kCi2BS563dMc7,Seasons in the Sun,['Westlife'],249267,1999,False,,0.597,0.5579999999999999,0.19699999999999998,0.535,87.97399999999998
3aqd5ZizbDDc8BCTX7bfLY,I Need You,['Westlife'],228640,1999,False,,0.667,0.7170000000000001,0.285,0.617,96.015
5G2kKkkGXI9pmokERv9grF,Miss You,['Westlife'],232893,1999,False,,0.491,0.627,0.436,0.402,78.047
3nCssYiRNgdyN894QW4uT1,More than Words,['Westlife'],234067,1999,False,,0.67,0.295,0.518,0.507,94.014
44iWy1HwMT9aVxiDDhIQ8x,Open Your Heart,['Westlife'],219440,1999,False,,0.655,0.777,0.29100000000000004,0.599,103.04299999999999
4fWAiwZF2TN3bq8FwAi9hD,Try Again,['Westlife'],215333,1999,False,,0.5710000000000001,0.613,0.024,0.165,81.948
6QCTOzddi99l53swxjU1q6,What I Want Is What I Got,['Westlife'],212027,1999,False,,0.75,0.7509999999999999,0.239,0.9129999999999999,92.02
0bIAUChT86MNxGbYyep01v,We Are One,['Westlife'],224400,1999,False,,0.529,0.528,0.157,0.278,118.03
0MQTDNaZilvayfWU08IxCA,Can't Lose What You Never Had,['Westlife'],261173,1999,False,,0.599,0.647,0.27699999999999997,0.465,204.312
48jd71gnyIlLdXOYX2qJ6p,Mandy,['Westlife'],199320,2003,False,,0.447,0.636,0.254,0.376,105.678
3pDB3fUF7eVbNYb17Gqt4R,Hey Whatever,['Westlife'],209053,2003,False,,0.594,0.873,0.0635,0.621,77.01899999999998
4xfxXu0mawk9JfkOLsISAu,Heal,['Westlife'],187720,2003,False,,0.636,0.634,0.00205,0.41700000000000004,112.993
13S85ASCmpJMdwM9rgaRUa,Obvious,['Westlife'],210160,2003,False,,0.529,0.667,0.0385,0.402,82.01100000000002
1CTTXciW8vvCUd2AJZjp95,When a Woman Loves a Man,['Westlife'],217787,2003,False,,0.436,0.5,0.139,0.32,141.856
624YMffLA90qmE234pb9hF,On My Shoulder,['Westlife'],237200,2003,False,,0.546,0.68,0.703,0.529,137.088
7oyOIirJNfhnTaGGOVGUuk,Turn Around,['Westlife'],261627,2003,False,,0.685,0.8390000000000001,0.0227,0.7290000000000001,116.969
1Km0EwfnZXSgNEZXphorwg,I Did It for You,['Westlife'],211253,2003,False,,0.536,0.564,0.243,0.35600000000000004,119.78
6gzMTey1L7RDVkYB6KVREd,Thank You,['Westlife'],242987,2003,False,,0.665,0.8640000000000001,0.0319,0.932,103.03200000000001
4XNZWe6lIUZboWUEfidn46,To Be with You,['Westlife'],200533,2003,False,,0.534,0.675,0.0732,0.639,166.96900000000005
1UeAfUknKzpNPnwznf5iG6,Home,['Westlife'],245360,2003,False,,0.505,0.639,0.0552,0.408,149.911
1yW7cB69YhL7IOKswXlNKz,Lost in You,['Westlife'],216720,2003,False,,0.579,0.41,0.24,0.479,179.84900000000005
6MZSOZ9YGuKilDeGNnqjGy,What Do They Know?,['Westlife'],197987,2003,False,,0.5489999999999999,0.237,0.6940000000000001,0.102,80.933
3S02baHff3A37K8Vdbjhsd,What Was He Wearing?,['Lambchop'],198667,1994,False,,0.40399999999999997,0.298,0.677,0.304,141.942
4C0vFX4aPrdR1jk9hyenBb,Patient,['Wiz'],152720,2019,True,,0.6629999999999999,0.494,0.0167,0.235,130.82299999999998
20iMumN7WDTDWgY0c3UvCB,Wild Packs of Family Dogs,['Modest Mouse'],104400,2000,False,,0.583,0.363,0.6579999999999999,0.635,99.796
5JIdzOHynj0wI8tpvd15Ug,What People Are Made Of,['Modest Mouse'],134240,2000,False,,0.40399999999999997,0.857,0.000535,0.54,165.843
4aoWd6DrexO0iN0RJWvHPX,Mailbox Suite,['Wind Machine'],258200,1989,False,,0.5589999999999999,0.319,0.8270000000000001,0.39399999999999996,82.734
0HuqeCANL6AUMHaNRGraO0,The Christmas Soldier,['Wind Machine'],186360,1989,False,,0.45799999999999996,0.361,0.721,0.26,107.969
6eyUZkC3mfVuUPHP3iAO2t,Neustros Hermanos De El Salvador,['Wind Machine'],248200,1989,False,,0.4320000000000001,0.478,0.45,0.47600000000000003,147.036
0oBtz8ocCOlgUo5JycKBG6,Song for the Children,['Wind Machine'],180907,1989,False,,0.379,0.257,0.922,0.12,100.62
0XG9bXWFaX17WDzy7zadw7,Front Porch Serenade,['Wind Machine'],170533,1989,False,,0.355,0.474,0.7609999999999999,0.3670000000000001,89.55
2hBQtRhG72PCW583PYjToU,Daybreak,['Wind Machine'],223733,1989,False,,0.38799999999999996,0.517,0.5660000000000001,0.541,146.95
6kJubyWNv4Yu2oXEibIgp0,Taylor Made,['Wind Machine'],175360,1989,False,,0.568,0.214,0.9159999999999999,0.259,94.525
7kYoyRA7S0z8h44BGunzo7,Rain Maiden,['Wind Machine'],295733,1989,False,,0.348,0.301,0.9209999999999999,0.223,172.167
7cCAE5rRMIB4QbdNNOokvh,Land of the Redwoods,['Wind Machine'],195573,1989,False,,0.434,0.38,0.64,0.522,82.74700000000001
5j7XPbcXiIkFsYDA9pYEE7,Waltz of the Wind,['Wind Machine'],160627,1989,False,,0.252,0.247,0.7709999999999999,0.215,180.34799999999998
0dyrtMdrBAE7L6MYK9YHHj,High Noon,['Wind Machine'],195173,1989,False,,0.43799999999999994,0.494,0.67,0.785,105.116
2r4uNUBBcJD5CZQ40peVZ0,Sand Harbor,['Wind Machine'],152800,1989,False,,0.565,0.264,0.5720000000000001,0.6409999999999999,87.399
7IPJqYbnPVL5H7Gu377EzO,Back At Linda's,['Wind Machine'],156000,1989,False,,0.488,0.517,0.632,0.877,133.384
0QINYWR15eDjUDgBLDFZmk,Ethan's Peace,['Wind Machine'],191960,1989,False,,0.48,0.158,0.861,0.0819,127.256
7s0QgY2FEivaUNREMpBoYE,Wasted / Fix Me,['Silverchair'],110293,2000,False,,0.28,0.941,0.0294,0.4970000000000001,97.389
3aBOMqzjNhXWPBGYVHa5tU,Hawks Circle the Mountain,['White Willow'],429427,2011,False,,0.287,0.495,0.68,0.0748,153.216
1zFvkuwAjrmYMcPPA2Ht0D,Snowswept,['White Willow'],252333,2011,False,,0.638,0.449,0.292,0.516,119.948
4Y24q11VjXIKggGg7W33l9,Kansas Regrets,['White Willow'],279840,2011,False,,0.441,0.23800000000000002,0.92,0.0927,126.18700000000001
3cdauMFdmGY1jN1v3DTsHm,Red Leaves,['White Willow'],520280,2011,False,,0.26899999999999996,0.364,0.0562,0.0734,140.714
1PpOfO1vHN7MfAIc60k1c0,Floor 67,['White Willow'],594600,2011,False,,0.428,0.46799999999999997,0.0659,0.07400000000000001,139.963
3yBezLnLTDs5sDJitnVFG3,Natasha of the Burning Woods,['White Willow'],389067,2011,False,,0.45799999999999996,0.584,0.223,0.11199999999999999,90.056
380UMaShimGnn9VmHlXeDZ,Searise,['White Willow'],791293,2011,False,,0.359,0.376,0.251,0.0582,140.10399999999998
1PYp2ptgnX5oJ9ym67WeGe,A Rumour of Twilight,['White Willow'],158067,2011,False,,0.312,0.18600000000000005,0.941,0.0646,105.97
5liXPADWDlYOAFxCE3Allt,The Howling Wind,['White Willow'],318640,2011,False,,0.39399999999999996,0.456,0.775,0.121,115.34299999999999
