id,name,artists,duration_ms,year,spotify_popularity,popularity_source
0YSYfKMk0JBl7mmWzSsfPe,Swing (Album Version),['Ani DiFranco'],373067,2000,67,proxy
5nX5kZliZ4P501b9TpLZHK,Floating Back,['The Call'],257411,2000,67,proxy
4oJaJtzdlvzHzXPKGX6vjd,Same Old Story,['The Call'],232673,2000,69,proxy
11PazWCYZPlMH9iLGmbxQP,Let the Day Begin,['The Call'],265744,2000,67,proxy
5cDKReCo2qD7oYbWcox3Y7,Disillusion,['Badly Drawn Boy'],319293,2000,67,proxy
1EbUYOmJkqKgUYgC2OI7Tc,Tiny Cities Made Of Ashes,['Modest Mouse'],194360,2000,79,proxy
6z5oU2wt2QRE0G95F6XHoh,A Different City,['Modest Mouse'],174440,2000,68,proxy
5gtjm4ZrsGUGUwzXsB4zCw,Paper Thin Walls,['Modest Mouse'],181267,2000,73,proxy
5JIdzOHynj0wI8tpvd15Ug,What People Are Made Of,['Modest Mouse'],134240,2000,70,proxy
0hpdq9D2y2Im2yWLGuclKA,Maschinenvolk,['Alec Empire'],458827,2000,70,proxy
77RsnXwFb7MWN4kbpJnGCu,Sonyprostitutes,['Alec Empire'],338640,2000,78,proxy
6nIG1WjJdsV93xsY5Xdaos,Grass String Ranch,['The Kentucky Headhunters'],256067,2000,75,proxy
3UDpypAwfzgPcZuxgdMei4,Jessico,['The Kentucky Headhunters'],202507,2000,77,proxy
1xBV4WNRTWcHv3PPcYpKno,Once In A While,['The Kentucky Headhunters'],263867,2000,77,proxy
7e4CAmxZQDM4G04AKXfTJv,Love That Woman,['The Kentucky Headhunters'],228413,2000,73,proxy
0LxZ6QK8j8x7DbFa2h9F43,Louisianna Coco,['The Kentucky Headhunters'],238293,2000,77,proxy
1Hne8oyS6PPbHDPySUHEGd,Country Life,['The Kentucky Headhunters'],217573,2000,72,proxy
5iNiTm6tDAyPbpUW7ExygY,Dry-land Fish,['The Kentucky Headhunters'],329560,2000,69,proxy
2HiwLq40bD4nZnnTAUuK7R,The Dreamin' Kind,['The Kentucky Headhunters'],270813,2000,73,proxy
5gKcEUyL2iQ6zwbJJh19F2,Rock On,['The Kentucky Headhunters'],305133,2000,78,proxy
09kczZ0t1dn2dVZnIbtp13,Freak,['Silverchair'],225960,2000,70,proxy
3AQKDBcdaaNMjLmYiJVzkL,New Race,['Silverchair'],199533,2000,68,proxy
5nD3HxldRUWgaNcsoOrMON,Minor Threat,['Silverchair'],95093,2000,73,proxy
62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye,['*NSYNC'],200400,2000,84,proxy
2AW37v0bDyuOzGP3XnmFuA,It's Gonna Be Me,['*NSYNC'],192427,2000,83,proxy
0B7Hp8MXbiK8HoXqqYqTkW,"Space Cowboy (Yippie-Yi-Yay) (feat. Lisa ""Left Eye"" Lopes)","['*NSYNC', 'Lisa ""Left Eye"" Lopes']",261364,2000,81,proxy
1eV2FGbbyxCJ6xaLqBRiFW,Just Got Paid,['*NSYNC'],248573,2000,78,proxy
0gbysjaH16DW29QpUnowcx,It Makes Me Ill,['*NSYNC'],206333,2000,79,proxy
6wOlzyu9hqu4Tjk0kPNv6e,No Strings Attached,['*NSYNC'],228907,2000,79,proxy
0yX0Zw8ouA5lD7rbzWfowL,Digital Get Down,['*NSYNC'],263200,2000,87,proxy
0MxKHJEhhFOJsvYak4Q5Bu,Bringin' Da Noise,['*NSYNC'],210333,2000,77,proxy
7Dt3YcGl01jAdxJrIXf0T6,I'll Be Good For You,['*NSYNC'],234973,2000,73,proxy
3XVQjV9TycpO9kOP0c4npB,El Estuche,['Aterciopelados'],202533,2000,68,proxy
5kVcBZdXLvM73kuzFkhntj,Bolero Falaz,['Aterciopelados'],225280,2000,74,proxy
13p4iKjCp3Hz8I9r1EH2cU,Florecita Rockera,['Aterciopelados'],177213,2000,72,proxy
42niDZKu3yJgYIPTdGjU2n,La Voz De La Patria,['Aterciopelados'],228827,2000,77,proxy
3UF4Igq0LikVpLcM6zx3Fe,Candela,['Aterciopelados'],159333,2000,80,proxy
3tOgyatLnoCJKpbf5UUURs,Cosita Seria,['Aterciopelados'],207933,2000,80,proxy
7eBg0445041Ie3GlHvmCaM,Quemarropa,['Aterciopelados'],205800,2000,74,proxy
0nhcdqB2tkB2jwiuSpRNw0,La Estaca,['Aterciopelados'],139440,2000,67,proxy
7sw9normASoHpwG6glVnB7,Baracunatana,['Aterciopelados'],152147,2000,77,proxy
6zCiwzcI1xlAPoZysAqMvY,Miss Panela,['Aterciopelados'],227667,2000,78,proxy
5EMonOPcEHIOXK1QOGr4QA,Rescue,['Eve 6'],236493,2000,74,proxy
5mqEL5pgnDCcWtTWpAofIV,Promise,['Eve 6'],176507,2000,75,proxy
2L50S184moxNmEiJe00zzP,On The Roof Again,['Eve 6'],185867,2000,79,proxy
3DUGWLHFA5B0dI80WhnL9F,Sunset Strip Bitch,['Eve 6'],198760,2000,79,proxy
6AGTsYXO0IcJuw0k2iCr6N,Amphetamines,['Eve 6'],166067,2000,76,proxy
0yHcUDpMXyODu26hbXFZTW,Enemy,['Eve 6'],228827,2000,73,proxy
73JSlkMwGxPQr0rYylbIDi,Nocturnal,['Eve 6'],187773,2000,78,proxy
65PSBrWwQpadwkvO6weZel,Jet Pack,['Eve 6'],213133,2000,77,proxy
0QPpSmcyPTWpqoeDI4QoXw,Nightmare,['Eve 6'],187560,2000,71,proxy
5GDlyHcreN7wyWuRkT3Zn9,Bang,['Eve 6'],214973,2000,70,proxy
6IvexFioAvOtwZaXyuKnbi,Girl Eyes,['Eve 6'],225680,2000,72,proxy
1LiFvnU68FDR7JKTdxgcvD,So Far Away,['Nine Days'],236101,2000,69,proxy
3mNecsYFb6LQg7822DPXCP,Absolutely (Story of a Girl) - Radio Mix,['Nine Days'],189333,2000,73,proxy
3ttCUEHcvNK6NUFfvCYOBI,End Up Alone,['Nine Days'],237354,2000,71,proxy
0FPkXa2B8vW5fzMUFXKRLs,Sometimes,['Nine Days'],314259,2000,74,proxy
5bVHpX4btY7dGuDJnHSA8x,Bob Dylan,['Nine Days'],275482,2000,74,proxy
